country,Top 1,Top 2,Top 3
Algeria,Aïssa Mandi (117),Riyad Mahrez (captain) (114),Ramy Bensebaini (81)
Argentina,Lionel Messi (captain) (198),Nicolás Otamendi (131),Rodrigo De Paul (86)
Australia,Mathew Ryan (captain) (104),Aziz Behich (84),Jackson Irvine (82)
Austria,Marko Arnautović (133),David Alaba (captain) (113),Marcel Sabitzer (98)
Belgium,Axel Witsel (138),Romelu Lukaku (126),Kevin De Bruyne (119)
Bosnia and Herzegovina,Edin Džeko (captain) (148),Sead Kolašinac (65),Ermedin Demirović (40)
Brazil,Neymar (128),Marquinhos (captain) (105),Casemiro (86)
Canada,Cyle Larin (90),Jonathan Osorio (90),Jonathan David (77)
Cape Verde,Ryan Mendes (captain) (98),Vozinha (86),Stopira (62)
Colombia,David Ospina (130),James Rodríguez (captain) (126),Davinson Sánchez (79)
Croatia,Luka Modrić (captain) (198),Ivan Perišić (154),Andrej Kramarić (116)
Curaçao,Leandro Bacuna (captain) (72),Eloy Room (71),Juriën Gaari (60)
Czech Republic,Tomáš Souček (90),Vladimír Darida (79),Vladimír Coufal (62)
DR Congo,Chancel Mbemba (captain) (108),Cédric Bakambu (69),Meschak Elia (68)
Ecuador,Enner Valencia (captain) (105),Moisés Caicedo (61),Alan Franco (58)
Egypt,Mohamed Salah (captain) (116),Trézéguet (96),Mohamed El Shenawy (76)
England,Harry Kane (captain) (113),Jordan Henderson (90),John Stones (88)
France,Kylian Mbappé (captain) (98),N'Golo Kanté (69),Adrien Rabiot (59)
Germany,Manuel Neuer (124),Joshua Kimmich (captain) (110),Antonio Rüdiger (82)
Ghana,Jordan Ayew (captain) (120),Thomas Partey (57),Abdul Rahman Baba (51)
Haiti,Johny Placide (captain) (81),Duckens Nazon (78),Ricardo Adé (59)
Iran,Ehsan Hajsafi (captain) (146),Mehdi Taremi (105),Alireza Jahanbakhsh (98)
Iraq,Jalal Hassan (captain) (101),Aymen Hussein (94),Ibrahim Bayesh (75)
Ivory Coast,Franck Kessié (captain) (103),Jean Michaël Seri (65),Ibrahim Sangaré (58)
Japan,Yūto Nagatomo (145),Wataru Endo (captain) (73),Junya Itō (69)
Jordan,Ihsan Haddad (captain) (92),Musa Al-Taamari (92),Mahmoud Al-Mardi (89)
Mexico,Guillermo Ochoa (152),Raúl Jiménez (124),Jesús Gallardo (121)
Morocco,Achraf Hakimi (captain) (96),Yassine Bounou (90),Sofyan Amrabat (75)
Netherlands,Memphis Depay (109),Virgil van Dijk (captain) (92),Denzel Dumfries (72)
New Zealand,Chris Wood (captain) (90),Kosta Barbarouses (76),Michael Boxall (63)
Norway,Alexander Sørloth (72),Ørjan Nyland (71),Martin Ødegaard (captain) (68)
Panama,Aníbal Godoy (captain) (159),Alberto Quintero (141),Eric Davis (107)
Paraguay,Gustavo Gómez (captain) (89),Miguel Almirón (76),Júnior Alonso (71)
Portugal,Cristiano Ronaldo (captain) (227),Bernardo Silva (108),Bruno Fernandes (88)
Qatar,Hassan Al-Haydos (captain) (186),Akram Afif (125),Karim Boudiaf (118)
Saudi Arabia,Salem Al-Dawsari (captain) (109),Mohamed Kanno (76),Firas Al-Buraikan (69)
Scotland,Andy Robertson (captain) (94),John McGinn (86),Craig Gordon (84)
Senegal,Idrissa Gueye (130),Sadio Mané (127),Kalidou Koulibaly (captain) (102)
South Africa,Ronwen Williams (captain) (62),Themba Zwane (53),Teboho Mokoena (51)
South Korea,Son Heung-min (captain) (144),Lee Jae-sung (105),Kim Seung-gyu (87)
Spain,Rodri (captain) (62),Unai Simón (58),Ferran Torres (57)
Sweden,Victor Lindelöf (captain) (76),Alexander Isak (58),Mattias Svanberg (41)
Switzerland,Granit Xhaka (captain) (146),Ricardo Rodriguez (138),Remo Freuler (88)
Tunisia,Ellyes Skhiri (captain) (83),Montassar Talbi (64),Dylan Bronn (52)
Turkey,Hakan Çalhanoğlu (captain) (105),Kaan Ayhan (73),Merih Demiral (62)
United States,Christian Pulisic (86),Tim Ream (captain) (82),Weston McKennie (66)
Uruguay,Fernando Muslera (134),José Giménez (captain) (99),Rodrigo Bentancur (74)
Uzbekistan,Eldor Shomurodov (captain) (92),Otabek Shukurov (84),Igor Sergeev (83)
